,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,UNSAFE_ACTION,DRIVER_BLIND,cause_bins,driver_maneuver_bins,physical_bins,hour_bins,SEX
136,0.0,0.0,Adult,Unsafe,0.0,0.0,Clear Weather,Wet,1,Average Speed,DRIVER ERROR,0.0,Skill,Unknown,Normal,Morning,F
137,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Straight Ahead,Normal,Morning,M
138,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,M
139,0.0,0.0,Unknown,Neutral,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,DRIVER ERROR,Unknown,Skill,Unknown,Other,Morning,X
140,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,0,Average Speed,Unknown,Unknown,Unknown,Turning Maneuver,Normal,Night,F
141,0.0,1.0,Elderly,Neutral,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,Unknown,Unknown,Traffic Maneuver,Other,Afternoon,M
142,1.0,0.0,Adult,Unknown,0.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,Unknown,Skill,Unknown,Shaken,Night,F
143,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Turning Maneuver,Other,Morning,M
144,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Other,Afternoon,M
145,0.0,1.0,Elderly,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Skill,Stationary Object Maneuver,Other,Morning,M
146,0.0,1.0,Adult,Safe,1.0,0.0,Adverse Weather,Wet,1,Below Average Speed,RECKLESS,0.0,Unknown,Unknown,Normal,Afternoon,F
147,1.0,0.0,Adult,Neutral,0.0,1.0,Adverse Weather,Wet,1,Above Average Speed,Unknown,0.0,Skill,Unknown,Normal,Morning,M
148,0.0,1.0,Middle-aged,Unknown,1.0,Unknown,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Unknown,Normal,Afternoon,F
149,0.0,1.0,Elderly,Unknown,1.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Skill,Straight Ahead,Normal,Morning,M
150,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Straight Ahead,Normal,Afternoon,F
151,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Night,F
152,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Unknown,1,Below Average Speed,Unknown,Unknown,Unknown,Straight Ahead,Normal,Afternoon,M
153,0.0,0.0,Adult,Unknown,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Unknown,Turning Maneuver,Other,Afternoon,M
154,0.0,0.0,Unknown,Unknown,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Unknown,Impaired,Afternoon,M
155,1.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,,0.0,Unknown,Straight Ahead,Normal,Afternoon,M
156,0.0,0.0,Elderly,Unsafe,0.0,0.0,Adverse Weather,Wet,0,Average Speed,Unknown,0.0,Unknown,Straight Ahead,Normal,Night,M
157,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Night,M
158,0.0,0.0,Elderly,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Unknown,Unknown,Normal,Afternoon,M
159,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Straight Ahead,Normal,Morning,M
160,0.0,0.0,Adult,Unknown,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Straight Ahead,Normal,Afternoon,M
161,0.0,1.0,Adult,Safe,0.0,0.0,Adverse Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Normal,Morning,F
162,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Straight Ahead,Normal,Morning,M
163,0.0,0.0,Unknown,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,RECKLESS,Unknown,Unknown,Unknown,Other,Night,M
